name,from,to,departure,fare_sitting,fare_sleeper
GreenLine Travels 14733,Gaya Junction,New Cooch Behar,11:59,382,632
Royal Roadways 14734,Gaya Junction,New Cooch Behar,14:32,392,647
CityLink Travels 14735,Gaya Junction,New Cooch Behar,17:05,402,663
Eastern Star Travels 14736,Gaya Junction,Rampurhat Junction,08:48,373,618
North Bengal Express Bus 14737,Gaya Junction,Rampurhat Junction,11:21,383,633
GreenLine Travels 14738,Gaya Junction,Rampurhat Junction,13:54,393,649
Royal Roadways 14739,Gaya Junction,Rampurhat Junction,16:27,403,664
CityLink Travels 14740,Gaya Junction,Rampurhat Junction,19:00,413,680
Eastern Star Travels 14741,Gaya Junction,Bandel Junction,10:43,294,495
North Bengal Express Bus 14742,Gaya Junction,Bandel Junction,13:16,304,511
GreenLine Travels 14743,Gaya Junction,Bandel Junction,15:49,314,526
Royal Roadways 14744,Gaya Junction,Bandel Junction,18:22,324,542
CityLink Travels 14745,Gaya Junction,Bandel Junction,20:55,334,557
Eastern Star Travels 14746,Gaya Junction,Kolkata Railway Station,12:38,266,452
North Bengal Express Bus 14747,Gaya Junction,Kolkata Railway Station,15:11,276,467
GreenLine Travels 14748,Gaya Junction,Kolkata Railway Station,17:44,286,483
Royal Roadways 14749,Gaya Junction,Kolkata Railway Station,20:17,296,498
CityLink Travels 14750,Gaya Junction,Kolkata Railway Station,22:50,306,514
Eastern Star Travels 14751,Gaya Junction,Adra Junction,14:33,307,515
North Bengal Express Bus 14752,Gaya Junction,Adra Junction,17:06,317,531
GreenLine Travels 14753,Gaya Junction,Adra Junction,19:39,327,546
Royal Roadways 14754,Gaya Junction,Adra Junction,22:12,337,562
CityLink Travels 14755,Gaya Junction,Adra Junction,00:45,347,577
Eastern Star Travels 14756,Gaya Junction,Bolpur Shantiniketan,16:28,311,522
North Bengal Express Bus 14757,Gaya Junction,Bolpur Shantiniketan,19:01,321,537
GreenLine Travels 14758,Gaya Junction,Bolpur Shantiniketan,21:34,331,553
Royal Roadways 14759,Gaya Junction,Bolpur Shantiniketan,00:07,341,568
CityLink Travels 14760,Gaya Junction,Bolpur Shantiniketan,02:40,351,584
Eastern Star Travels 14761,Gaya Junction,Bankura Junction,18:23,218,377
North Bengal Express Bus 14762,Gaya Junction,Bankura Junction,20:56,228,393
GreenLine Travels 14763,Gaya Junction,Bankura Junction,23:29,238,408
Royal Roadways 14764,Gaya Junction,Bankura Junction,02:02,248,424
CityLink Travels 14765,Gaya Junction,Bankura Junction,04:35,258,439
Eastern Star Travels 14766,Gaya Junction,Katwa Junction,20:18,195,342
North Bengal Express Bus 14767,Gaya Junction,Katwa Junction,22:51,205,357
GreenLine Travels 14768,Gaya Junction,Katwa Junction,01:24,215,373
Royal Roadways 14769,Gaya Junction,Katwa Junction,03:57,225,388
CityLink Travels 14770,Gaya Junction,Katwa Junction,06:30,235,404
Eastern Star Travels 14771,Gaya Junction,Hijli,22:13,396,653
North Bengal Express Bus 14772,Gaya Junction,Hijli,00:46,406,669
GreenLine Travels 14773,Gaya Junction,Hijli,03:19,416,684
Royal Roadways 14774,Gaya Junction,Hijli,05:52,426,700
CityLink Travels 14775,Gaya Junction,Hijli,08:25,436,715
Eastern Star Travels 14776,Gaya Junction,Purulia Junction,00:08,383,633
North Bengal Express Bus 14777,Gaya Junction,Purulia Junction,02:41,393,649
GreenLine Travels 14778,Gaya Junction,Purulia Junction,05:14,403,664
Royal Roadways 14779,Gaya Junction,Purulia Junction,07:47,413,680
CityLink Travels 14780,Gaya Junction,Purulia Junction,10:20,423,695
Eastern Star Travels 14781,Gaya Junction,Dankuni Junction,02:03,149,270
North Bengal Express Bus 14782,Gaya Junction,Dankuni Junction,04:36,159,286
GreenLine Travels 14783,Gaya Junction,Dankuni Junction,07:09,169,301
Royal Roadways 14784,Gaya Junction,Dankuni Junction,09:42,179,317
CityLink Travels 14785,Gaya Junction,Dankuni Junction,12:15,189,332
Eastern Star Travels 14786,Gaya Junction,Chittaranjan,03:58,376,622
North Bengal Express Bus 14787,Gaya Junction,Chittaranjan,06:31,386,638
GreenLine Travels 14788,Gaya Junction,Chittaranjan,09:04,396,653
Royal Roadways 14789,Gaya Junction,Chittaranjan,11:37,406,669
CityLink Travels 14790,Gaya Junction,Chittaranjan,14:10,416,684
Eastern Star Travels 14791,Gaya Junction,Siliguri Junction,05:53,317,531
North Bengal Express Bus 14792,Gaya Junction,Siliguri Junction,08:26,327,546
GreenLine Travels 14793,Gaya Junction,Siliguri Junction,10:59,337,562
Royal Roadways 14794,Gaya Junction,Siliguri Junction,13:32,347,577
CityLink Travels 14795,Gaya Junction,Siliguri Junction,16:05,357,593
Eastern Star Travels 14796,Gaya Junction,Ranaghat Junction,07:48,311,522
North Bengal Express Bus 14797,Gaya Junction,Ranaghat Junction,10:21,321,537
GreenLine Travels 14798,Gaya Junction,Ranaghat Junction,12:54,331,553
Royal Roadways 14799,Gaya Junction,Ranaghat Junction,15:27,341,568
CityLink Travels 14800,Gaya Junction,Ranaghat Junction,18:00,351,584
Eastern Star Travels 14801,Gaya Junction,Andal Junction,09:43,362,601
North Bengal Express Bus 14802,Gaya Junction,Andal Junction,12:16,372,616
GreenLine Travels 14803,Gaya Junction,Andal Junction,14:49,382,632
Royal Roadways 14804,Gaya Junction,Andal Junction,17:22,392,647
CityLink Travels 14805,Gaya Junction,Andal Junction,19:55,402,663
Eastern Star Travels 14806,Gaya Junction,Krishnanagar City Junction,11:38,305,512
North Bengal Express Bus 14807,Gaya Junction,Krishnanagar City Junction,14:11,315,528
GreenLine Travels 14808,Gaya Junction,Krishnanagar City Junction,16:44,325,543
Royal Roadways 14809,Gaya Junction,Krishnanagar City Junction,19:17,335,559
CityLink Travels 14810,Gaya Junction,Krishnanagar City Junction,21:50,345,574
Eastern Star Travels 14811,Gaya Junction,Digha,13:33,238,408
North Bengal Express Bus 14812,Gaya Junction,Digha,16:06,248,424
GreenLine Travels 14813,Gaya Junction,Digha,18:39,258,439
Royal Roadways 14814,Gaya Junction,Digha,21:12,268,455
CityLink Travels 14815,Gaya Junction,Digha,23:45,278,470
Eastern Star Travels 14816,Gaya Junction,Shalimar,15:28,247,422
North Bengal Express Bus 14817,Gaya Junction,Shalimar,18:01,257,438
GreenLine Travels 14818,Gaya Junction,Shalimar,20:34,267,453
Royal Roadways 14819,Gaya Junction,Shalimar,23:07,277,469
CityLink Travels 14820,Gaya Junction,Shalimar,01:40,287,484
Eastern Star Travels 14821,Gaya Junction,Midnapore,17:23,428,703
North Bengal Express Bus 14822,Gaya Junction,Midnapore,19:56,438,718
GreenLine Travels 14823,Gaya Junction,Midnapore,22:29,448,734
Royal Roadways 14824,Gaya Junction,Midnapore,01:02,458,749
CityLink Travels 14825,Gaya Junction,Midnapore,03:35,468,765
Eastern Star Travels 14826,Gaya Junction,Berhampore Court,19:18,242,415
North Bengal Express Bus 14827,Gaya Junction,Berhampore Court,21:51,252,430
GreenLine Travels 14828,Gaya Junction,Berhampore Court,00:24,262,446
Royal Roadways 14829,Gaya Junction,Berhampore Court,02:57,272,461
CityLink Travels 14830,Gaya Junction,Berhampore Court,05:30,282,477
Eastern Star Travels 14831,Gaya Junction,Naihati Junction,21:13,159,286
North Bengal Express Bus 14832,Gaya Junction,Naihati Junction,23:46,169,301
GreenLine Travels 14833,Gaya Junction,Naihati Junction,02:19,179,317
Royal Roadways 14834,Gaya Junction,Naihati Junction,04:52,189,332
CityLink Travels 14835,Gaya Junction,Naihati Junction,07:25,199,348
Eastern Star Travels 14836,Gaya Junction,Patna Junction,23:08,389,642
North Bengal Express Bus 14837,Gaya Junction,Patna Junction,01:41,399,658
GreenLine Travels 14838,Gaya Junction,Patna Junction,04:14,409,673
Royal Roadways 14839,Gaya Junction,Patna Junction,06:47,419,689
CityLink Travels 14840,Gaya Junction,Patna Junction,09:20,429,704
Eastern Star Travels 14841,Gaya Junction,Danapur,01:03,350,582
North Bengal Express Bus 14842,Gaya Junction,Danapur,03:36,360,598
GreenLine Travels 14843,Gaya Junction,Danapur,06:09,370,613
Royal Roadways 14844,Gaya Junction,Danapur,08:42,380,629
CityLink Travels 14845,Gaya Junction,Danapur,11:15,390,644
Eastern Star Travels 14846,Gaya Junction,Muzaffarpur Junction,02:58,361,599
North Bengal Express Bus 14847,Gaya Junction,Muzaffarpur Junction,05:31,371,615
GreenLine Travels 14848,Gaya Junction,Muzaffarpur Junction,08:04,381,630
Royal Roadways 14849,Gaya Junction,Muzaffarpur Junction,10:37,391,646
CityLink Travels 14850,Gaya Junction,Muzaffarpur Junction,13:10,401,661
Eastern Star Travels 14851,Gaya Junction,Bhagalpur Junction,04:53,312,523
North Bengal Express Bus 14852,Gaya Junction,Bhagalpur Junction,07:26,322,539
GreenLine Travels 14853,Gaya Junction,Bhagalpur Junction,09:59,332,554
Royal Roadways 14854,Gaya Junction,Bhagalpur Junction,12:32,342,570
CityLink Travels 14855,Gaya Junction,Bhagalpur Junction,15:05,352,585
Eastern Star Travels 14856,Gaya Junction,Darbhanga Junction,06:48,272,461
North Bengal Express Bus 14857,Gaya Junction,Darbhanga Junction,09:21,282,477
GreenLine Travels 14858,Gaya Junction,Darbhanga Junction,11:54,292,492
Royal Roadways 14859,Gaya Junction,Darbhanga Junction,14:27,302,508
CityLink Travels 14860,Gaya Junction,Darbhanga Junction,17:00,312,523
Eastern Star Travels 14861,Gaya Junction,Samastipur Junction,08:43,301,506
North Bengal Express Bus 14862,Gaya Junction,Samastipur Junction,11:16,311,522
GreenLine Travels 14863,Gaya Junction,Samastipur Junction,13:49,321,537
Royal Roadways 14864,Gaya Junction,Samastipur Junction,16:22,331,553
CityLink Travels 14865,Gaya Junction,Samastipur Junction,18:55,341,568
Eastern Star Travels 14866,Gaya Junction,Barauni Junction,10:38,335,559
North Bengal Express Bus 14867,Gaya Junction,Barauni Junction,13:11,345,574
GreenLine Travels 14868,Gaya Junction,Barauni Junction,15:44,355,590
Royal Roadways 14869,Gaya Junction,Barauni Junction,18:17,365,605
CityLink Travels 14870,Gaya Junction,Barauni Junction,20:50,375,621
Eastern Star Travels 14871,Gaya Junction,Katihar Junction,12:33,238,408
North Bengal Express Bus 14872,Gaya Junction,Katihar Junction,15:06,248,424
GreenLine Travels 14873,Gaya Junction,Katihar Junction,17:39,258,439
Royal Roadways 14874,Gaya Junction,Katihar Junction,20:12,268,455
CityLink Travels 14875,Gaya Junction,Katihar Junction,22:45,278,470
Eastern Star Travels 14876,Gaya Junction,Chhapra Junction,14:28,197,345
North Bengal Express Bus 14877,Gaya Junction,Chhapra Junction,17:01,207,360
GreenLine Travels 14878,Gaya Junction,Chhapra Junction,19:34,217,376
Royal Roadways 14879,Gaya Junction,Chhapra Junction,22:07,227,391
CityLink Travels 14880,Gaya Junction,Chhapra Junction,00:40,237,407
Eastern Star Travels 14881,Gaya Junction,Ara Junction,16:23,410,675
North Bengal Express Bus 14882,Gaya Junction,Ara Junction,18:56,420,691
GreenLine Travels 14883,Gaya Junction,Ara Junction,21:29,430,706
Royal Roadways 14884,Gaya Junction,Ara Junction,00:02,440,722
CityLink Travels 14885,Gaya Junction,Ara Junction,02:35,450,737
Eastern Star Travels 14886,Gaya Junction,Buxar Junction,18:18,388,641
North Bengal Express Bus 14887,Gaya Junction,Buxar Junction,20:51,398,656
GreenLine Travels 14888,Gaya Junction,Buxar Junction,23:24,408,672
Royal Roadways 14889,Gaya Junction,Buxar Junction,01:57,418,687
CityLink Travels 14890,Gaya Junction,Buxar Junction,04:30,428,703
Eastern Star Travels 14891,Gaya Junction,Hajipur Junction,20:13,173,308
North Bengal Express Bus 14892,Gaya Junction,Hajipur Junction,22:46,183,323
GreenLine Travels 14893,Gaya Junction,Hajipur Junction,01:19,193,339
Royal Roadways 14894,Gaya Junction,Hajipur Junction,03:52,203,354
CityLink Travels 14895,Gaya Junction,Hajipur Junction,06:25,213,370
Eastern Star Travels 14896,Gaya Junction,Sonpur Junction,22:08,134,247
North Bengal Express Bus 14897,Gaya Junction,Sonpur Junction,00:41,144,263
GreenLine Travels 14898,Gaya Junction,Sonpur Junction,03:14,154,278
Royal Roadways 14899,Gaya Junction,Sonpur Junction,05:47,164,294
CityLink Travels 14900,Gaya Junction,Sonpur Junction,08:20,174,309
Eastern Star Travels 14901,Gaya Junction,Saharsa Junction,00:03,331,553
North Bengal Express Bus 14902,Gaya Junction,Saharsa Junction,02:36,341,568
GreenLine Travels 14903,Gaya Junction,Saharsa Junction,05:09,351,584
Royal Roadways 14904,Gaya Junction,Saharsa Junction,07:42,361,599
CityLink Travels 14905,Gaya Junction,Saharsa Junction,10:15,371,615
Eastern Star Travels 14906,Gaya Junction,Purnea Junction,01:58,314,526
North Bengal Express Bus 14907,Gaya Junction,Purnea Junction,04:31,324,542
GreenLine Travels 14908,Gaya Junction,Purnea Junction,07:04,334,557
Royal Roadways 14909,Gaya Junction,Purnea Junction,09:37,344,573
CityLink Travels 14910,Gaya Junction,Purnea Junction,12:10,354,588
Eastern Star Travels 14911,Gaya Junction,Kishanganj,03:53,355,590
North Bengal Express Bus 14912,Gaya Junction,Kishanganj,06:26,365,605
GreenLine Travels 14913,Gaya Junction,Kishanganj,08:59,375,621
Royal Roadways 14914,Gaya Junction,Kishanganj,11:32,385,636
CityLink Travels 14915,Gaya Junction,Kishanganj,14:05,395,652
Eastern Star Travels 14916,Gaya Junction,Dehri-on-Sone,05:48,327,546
North Bengal Express Bus 14917,Gaya Junction,Dehri-on-Sone,08:21,337,562
GreenLine Travels 14918,Gaya Junction,Dehri-on-Sone,10:54,347,577
Royal Roadways 14919,Gaya Junction,Dehri-on-Sone,13:27,357,593
CityLink Travels 14920,Gaya Junction,Dehri-on-Sone,16:00,367,608
Eastern Star Travels 14921,Gaya Junction,Sasaram Junction,07:43,252,430
North Bengal Express Bus 14922,Gaya Junction,Sasaram Junction,10:16,262,446
GreenLine Travels 14923,Gaya Junction,Sasaram Junction,12:49,272,461
Royal Roadways 14924,Gaya Junction,Sasaram Junction,15:22,282,477
CityLink Travels 14925,Gaya Junction,Sasaram Junction,17:55,292,492
Eastern Star Travels 14926,Gaya Junction,Motihari (Bapudham Motihari),09:38,245,419
North Bengal Express Bus 14927,Gaya Junction,Motihari (Bapudham Motihari),12:11,255,435
GreenLine Travels 14928,Gaya Junction,Motihari (Bapudham Motihari),14:44,265,450
Royal Roadways 14929,Gaya Junction,Motihari (Bapudham Motihari),17:17,275,466
CityLink Travels 14930,Gaya Junction,Motihari (Bapudham Motihari),19:50,285,481
Eastern Star Travels 14931,Gaya Junction,Bettiah,11:33,439,720
North Bengal Express Bus 14932,Gaya Junction,Bettiah,14:06,449,735
GreenLine Travels 14933,Gaya Junction,Bettiah,16:39,459,751
Royal Roadways 14934,Gaya Junction,Bettiah,19:12,469,766
CityLink Travels 14935,Gaya Junction,Bettiah,21:45,479,782
Eastern Star Travels 14936,Gaya Junction,Raxaul Junction,13:28,266,452
North Bengal Express Bus 14937,Gaya Junction,Raxaul Junction,16:01,276,467
GreenLine Travels 14938,Gaya Junction,Raxaul Junction,18:34,286,483
Royal Roadways 14939,Gaya Junction,Raxaul Junction,21:07,296,498
CityLink Travels 14940,Gaya Junction,Raxaul Junction,23:40,306,514
Eastern Star Travels 14941,Gaya Junction,Siwan Junction,15:23,174,309
North Bengal Express Bus 14942,Gaya Junction,Siwan Junction,17:56,184,325
GreenLine Travels 14943,Gaya Junction,Siwan Junction,20:29,194,340
Royal Roadways 14944,Gaya Junction,Siwan Junction,23:02,204,356
CityLink Travels 14945,Gaya Junction,Siwan Junction,01:35,214,371
Eastern Star Travels 14946,Gaya Junction,Begusarai,17:18,189,332
North Bengal Express Bus 14947,Gaya Junction,Begusarai,19:51,199,348
GreenLine Travels 14948,Gaya Junction,Begusarai,22:24,209,363
Royal Roadways 14949,Gaya Junction,Begusarai,00:57,219,379
CityLink Travels 14950,Gaya Junction,Begusarai,03:30,229,394
Eastern Star Travels 14951,Gaya Junction,Khagaria Junction,19:13,360,598
North Bengal Express Bus 14952,Gaya Junction,Khagaria Junction,21:46,370,613
GreenLine Travels 14953,Gaya Junction,Khagaria Junction,00:19,380,629
Royal Roadways 14954,Gaya Junction,Khagaria Junction,02:52,390,644
CityLink Travels 14955,Gaya Junction,Khagaria Junction,05:25,400,660
Eastern Star Travels 14956,Gaya Junction,Jamalpur Junction,21:08,361,599
North Bengal Express Bus 14957,Gaya Junction,Jamalpur Junction,23:41,371,615
GreenLine Travels 14958,Gaya Junction,Jamalpur Junction,02:14,381,630
Royal Roadways 14959,Gaya Junction,Jamalpur Junction,04:47,391,646
CityLink Travels 14960,Gaya Junction,Jamalpur Junction,07:20,401,661
Eastern Star Travels 14961,Gaya Junction,Nawada,23:03,104,201
North Bengal Express Bus 14962,Gaya Junction,Nawada,01:36,114,216
GreenLine Travels 14963,Gaya Junction,Nawada,04:09,124,232
Royal Roadways 14964,Gaya Junction,Nawada,06:42,134,247
CityLink Travels 14965,Gaya Junction,Nawada,09:15,144,263
Eastern Star Travels 14966,Gaya Junction,Jehanabad,00:58,331,553
North Bengal Express Bus 14967,Gaya Junction,Jehanabad,03:31,341,568
GreenLine Travels 14968,Gaya Junction,Jehanabad,06:04,351,584
Royal Roadways 14969,Gaya Junction,Jehanabad,08:37,361,599
CityLink Travels 14970,Gaya Junction,Jehanabad,11:10,371,615
Eastern Star Travels 14971,Gaya Junction,Jaynagar,02:53,281,475
North Bengal Express Bus 14972,Gaya Junction,Jaynagar,05:26,291,491
GreenLine Travels 14973,Gaya Junction,Jaynagar,07:59,301,506
Royal Roadways 14974,Gaya Junction,Jaynagar,10:32,311,522
CityLink Travels 14975,Gaya Junction,Jaynagar,13:05,321,537
Eastern Star Travels 14976,Gaya Junction,Narkatiaganj Junction,04:48,296,498
North Bengal Express Bus 14977,Gaya Junction,Narkatiaganj Junction,07:21,306,514
GreenLine Travels 14978,Gaya Junction,Narkatiaganj Junction,09:54,316,529
Royal Roadways 14979,Gaya Junction,Narkatiaganj Junction,12:27,326,545
CityLink Travels 14980,Gaya Junction,Narkatiaganj Junction,15:00,336,560
Eastern Star Travels 14981,Gaya Junction,Ranchi Junction,06:43,473,773
North Bengal Express Bus 14982,Gaya Junction,Ranchi Junction,09:16,483,788
GreenLine Travels 14983,Gaya Junction,Ranchi Junction,11:49,493,804
Royal Roadways 14984,Gaya Junction,Ranchi Junction,14:22,503,819
CityLink Travels 14985,Gaya Junction,Ranchi Junction,16:55,513,835
Eastern Star Travels 14986,Gaya Junction,Dhanbad Junction,08:38,259,441
North Bengal Express Bus 14987,Gaya Junction,Dhanbad Junction,11:11,269,456
GreenLine Travels 14988,Gaya Junction,Dhanbad Junction,13:44,279,472
Royal Roadways 14989,Gaya Junction,Dhanbad Junction,16:17,289,487
CityLink Travels 14990,Gaya Junction,Dhanbad Junction,18:50,299,503
Eastern Star Travels 14991,Gaya Junction,Tatanagar Junction (Jamshedpur),10:33,203,354
North Bengal Express Bus 14992,Gaya Junction,Tatanagar Junction (Jamshedpur),13:06,213,370
GreenLine Travels 14993,Gaya Junction,Tatanagar Junction (Jamshedpur),15:39,223,385
Royal Roadways 14994,Gaya Junction,Tatanagar Junction (Jamshedpur),18:12,233,401
CityLink Travels 14995,Gaya Junction,Tatanagar Junction (Jamshedpur),20:45,243,416
Eastern Star Travels 14996,Gaya Junction,Bokaro Steel City,12:28,244,418
North Bengal Express Bus 14997,Gaya Junction,Bokaro Steel City,15:01,254,433
GreenLine Travels 14998,Gaya Junction,Bokaro Steel City,17:34,264,449
Royal Roadways 14999,Gaya Junction,Bokaro Steel City,20:07,274,464
CityLink Travels 15000,Gaya Junction,Bokaro Steel City,22:40,284,480
Eastern Star Travels 15001,Gaya Junction,Jasidih Junction,14:23,396,653
North Bengal Express Bus 15002,Gaya Junction,Jasidih Junction,16:56,406,669
GreenLine Travels 15003,Gaya Junction,Jasidih Junction,19:29,416,684
Royal Roadways 15004,Gaya Junction,Jasidih Junction,22:02,426,700
CityLink Travels 15005,Gaya Junction,Jasidih Junction,00:35,436,715
Eastern Star Travels 15006,Gaya Junction,Madhupur Junction,16:18,196,343
North Bengal Express Bus 15007,Gaya Junction,Madhupur Junction,18:51,206,359
GreenLine Travels 15008,Gaya Junction,Madhupur Junction,21:24,216,374
Royal Roadways 15009,Gaya Junction,Madhupur Junction,23:57,226,390
CityLink Travels 15010,Gaya Junction,Madhupur Junction,02:30,236,405
Eastern Star Travels 15011,Gaya Junction,Koderma Junction,18:13,129,239
North Bengal Express Bus 15012,Gaya Junction,Koderma Junction,20:46,139,255
GreenLine Travels 15013,Gaya Junction,Koderma Junction,23:19,149,270
Royal Roadways 15014,Gaya Junction,Koderma Junction,01:52,159,286
CityLink Travels 15015,Gaya Junction,Koderma Junction,04:25,169,301
Eastern Star Travels 15016,Gaya Junction,Deoghar Junction,20:08,347,577
North Bengal Express Bus 15017,Gaya Junction,Deoghar Junction,22:41,357,593
GreenLine Travels 15018,Gaya Junction,Deoghar Junction,01:14,367,608
Royal Roadways 15019,Gaya Junction,Deoghar Junction,03:47,377,624
CityLink Travels 15020,Gaya Junction,Deoghar Junction,06:20,387,639
Eastern Star Travels 15021,Gaya Junction,Hatia,22:03,320,536
North Bengal Express Bus 15022,Gaya Junction,Hatia,00:36,330,551
GreenLine Travels 15023,Gaya Junction,Hatia,03:09,340,567
Royal Roadways 15024,Gaya Junction,Hatia,05:42,350,582
CityLink Travels 15025,Gaya Junction,Hatia,08:15,360,598
Eastern Star Travels 15026,Gaya Junction,Barkakana Junction,23:58,349,580
North Bengal Express Bus 15027,Gaya Junction,Barkakana Junction,02:31,359,596
GreenLine Travels 15028,Gaya Junction,Barkakana Junction,05:04,369,611
Royal Roadways 15029,Gaya Junction,Barkakana Junction,07:37,379,627
CityLink Travels 15030,Gaya Junction,Barkakana Junction,10:10,389,642
Eastern Star Travels 15031,Gaya Junction,Daltonganj,01:53,349,580
North Bengal Express Bus 15032,Gaya Junction,Daltonganj,04:26,359,596
GreenLine Travels 15033,Gaya Junction,Daltonganj,06:59,369,611
Royal Roadways 15034,Gaya Junction,Daltonganj,09:32,379,627
CityLink Travels 15035,Gaya Junction,Daltonganj,12:05,389,642
Eastern Star Travels 15036,Gaya Junction,Chandrapura Junction,03:48,269,456
North Bengal Express Bus 15037,Gaya Junction,Chandrapura Junction,06:21,279,472
GreenLine Travels 15038,Gaya Junction,Chandrapura Junction,08:54,289,487
Royal Roadways 15039,Gaya Junction,Chandrapura Junction,11:27,299,503
CityLink Travels 15040,Gaya Junction,Chandrapura Junction,14:00,309,518
Eastern Star Travels 15041,Gaya Junction,Gomoh Junction (NSCB Gomoh),05:43,246,421
North Bengal Express Bus 15042,Gaya Junction,Gomoh Junction (NSCB Gomoh),08:16,256,436
GreenLine Travels 15043,Gaya Junction,Gomoh Junction (NSCB Gomoh),10:49,266,452
Royal Roadways 15044,Gaya Junction,Gomoh Junction (NSCB Gomoh),13:22,276,467
CityLink Travels 15045,Gaya Junction,Gomoh Junction (NSCB Gomoh),15:55,286,483
Eastern Star Travels 15046,Gaya Junction,Sahibganj Junction,07:38,299,503
North Bengal Express Bus 15047,Gaya Junction,Sahibganj Junction,10:11,309,518
GreenLine Travels 15048,Gaya Junction,Sahibganj Junction,12:44,319,534
Royal Roadways 15049,Gaya Junction,Sahibganj Junction,15:17,329,549
CityLink Travels 15050,Gaya Junction,Sahibganj Junction,17:50,339,565
Eastern Star Travels 15051,Gaya Junction,Dumka,09:33,290,489
North Bengal Express Bus 15052,Gaya Junction,Dumka,12:06,300,505
GreenLine Travels 15053,Gaya Junction,Dumka,14:39,310,520
Royal Roadways 15054,Gaya Junction,Dumka,17:12,320,536
CityLink Travels 15055,Gaya Junction,Dumka,19:45,330,551
Eastern Star Travels 15056,Gaya Junction,Garhwa Road Junction,11:28,193,339
North Bengal Express Bus 15057,Gaya Junction,Garhwa Road Junction,14:01,203,354
GreenLine Travels 15058,Gaya Junction,Garhwa Road Junction,16:34,213,370
Royal Roadways 15059,Gaya Junction,Garhwa Road Junction,19:07,223,385
CityLink Travels 15060,Gaya Junction,Garhwa Road Junction,21:40,233,401
Eastern Star Travels 15061,Gaya Junction,Ramgarh Cantt,13:23,181,320
North Bengal Express Bus 15062,Gaya Junction,Ramgarh Cantt,15:56,191,336
GreenLine Travels 15063,Gaya Junction,Ramgarh Cantt,18:29,201,351
Royal Roadways 15064,Gaya Junction,Ramgarh Cantt,21:02,211,367
CityLink Travels 15065,Gaya Junction,Ramgarh Cantt,23:35,221,382
Eastern Star Travels 15066,Gaya Junction,Chakradharpur,15:18,372,616
North Bengal Express Bus 15067,Gaya Junction,Chakradharpur,17:51,382,632
GreenLine Travels 15068,Gaya Junction,Chakradharpur,20:24,392,647
Royal Roadways 15069,Gaya Junction,Chakradharpur,22:57,402,663
CityLink Travels 15070,Gaya Junction,Chakradharpur,01:30,412,678
Eastern Star Travels 15071,Gaya Junction,Ghatsila,17:13,363,602
North Bengal Express Bus 15072,Gaya Junction,Ghatsila,19:46,373,618
GreenLine Travels 15073,Gaya Junction,Ghatsila,22:19,383,633
Royal Roadways 15074,Gaya Junction,Ghatsila,00:52,393,649
CityLink Travels 15075,Gaya Junction,Ghatsila,03:25,403,664
Eastern Star Travels 15076,Gaya Junction,Pakur,19:08,128,238
North Bengal Express Bus 15077,Gaya Junction,Pakur,21:41,138,253
GreenLine Travels 15078,Gaya Junction,Pakur,00:14,148,269
Royal Roadways 15079,Gaya Junction,Pakur,02:47,158,284
CityLink Travels 15080,Gaya Junction,Pakur,05:20,168,300
Eastern Star Travels 15081,Gaya Junction,Hazaribagh Town,21:03,351,584
North Bengal Express Bus 15082,Gaya Junction,Hazaribagh Town,23:36,361,599
GreenLine Travels 15083,Gaya Junction,Hazaribagh Town,02:09,371,615
Royal Roadways 15084,Gaya Junction,Hazaribagh Town,04:42,381,630
CityLink Travels 15085,Gaya Junction,Hazaribagh Town,07:15,391,646
Eastern Star Travels 15086,Gaya Junction,Latehar,22:58,293,494
North Bengal Express Bus 15087,Gaya Junction,Latehar,01:31,303,509
GreenLine Travels 15088,Gaya Junction,Latehar,04:04,313,525
Royal Roadways 15089,Gaya Junction,Latehar,06:37,323,540
CityLink Travels 15090,Gaya Junction,Latehar,09:10,333,556
Eastern Star Travels 15091,Gaya Junction,Lohardaga,00:53,294,495
North Bengal Express Bus 15092,Gaya Junction,Lohardaga,03:26,304,511
GreenLine Travels 15093,Gaya Junction,Lohardaga,05:59,314,526
Royal Roadways 15094,Gaya Junction,Lohardaga,08:32,324,542
CityLink Travels 15095,Gaya Junction,Lohardaga,11:05,334,557
Eastern Star Travels 15096,Gaya Junction,Chaibasa,02:48,483,788
North Bengal Express Bus 15097,Gaya Junction,Chaibasa,05:21,493,804
GreenLine Travels 15098,Gaya Junction,Chaibasa,07:54,503,819
Royal Roadways 15099,Gaya Junction,Chaibasa,10:27,513,835
CityLink Travels 15100,Gaya Junction,Chaibasa,13:00,523,850
Eastern Star Travels 15101,Gaya Junction,Giridih,04:43,281,475
North Bengal Express Bus 15102,Gaya Junction,Giridih,07:16,291,491
GreenLine Travels 15103,Gaya Junction,Giridih,09:49,301,506
Royal Roadways 15104,Gaya Junction,Giridih,12:22,311,522
CityLink Travels 15105,Gaya Junction,Giridih,14:55,321,537
Eastern Star Travels 15106,Gaya Junction,Khastri (Netaji Subhash Chandra Bose Gomoh),06:38,214,371
North Bengal Express Bus 15107,Gaya Junction,Khastri (Netaji Subhash Chandra Bose Gomoh),09:11,224,387
GreenLine Travels 15108,Gaya Junction,Khastri (Netaji Subhash Chandra Bose Gomoh),11:44,234,402
Royal Roadways 15109,Gaya Junction,Khastri (Netaji Subhash Chandra Bose Gomoh),14:17,244,418
